,clat,clng,dist
125,36.63597854,127.3167081,24.81131004
126,36.63597694,127.316714,25.17341632
127,36.63597535,127.3167199,25.53608446
128,36.63597376,127.3167258,25.89332821
129,36.63597216,127.3167317,26.25950073
130,36.63597057,127.3167375,26.62611653
131,36.63596898,127.3167434,27.00162368
132,36.63596738,127.3167492,27.37141144
133,36.6359658,127.3167552,27.73423789
134,36.63596421,127.316761,28.10580757
135,36.63596261,127.3167669,28.47876493
136,36.63596102,127.3167728,28.85198645
137,36.63595943,127.3167787,29.22651806
138,36.63595784,127.3167846,29.60196247
139,36.63595625,127.3167904,29.97828541
140,36.63595466,127.3167963,30.35545419
141,36.63595307,127.3168021,30.73343768
142,36.63595147,127.3168081,31.10479687
143,36.63594988,127.3168139,31.48431291
144,36.63594829,127.3168198,31.87198622
145,36.63594759,127.3168242,31.29923437
146,36.63594689,127.3168286,30.73669968
147,36.6359462,127.316833,30.20033582
148,36.63594549,127.3168374,29.68368882
149,36.63594405,127.3168432,30.05944302
150,36.63594261,127.3168491,30.4369433
151,36.63594116,127.316855,30.80900539
152,36.63593972,127.3168609,31.19012327
153,36.63593828,127.3168668,31.57309688
154,36.63593684,127.3168726,31.96520424
155,36.63593539,127.3168785,32.35153483
156,36.63593395,127.3168844,32.73154448
157,36.63593251,127.3168903,33.12076067
158,36.63593106,127.3168961,33.5114008
159,36.63592962,127.316902,33.91104835
160,36.63592818,127.316908,34.29668535
161,36.63592673,127.3169138,34.69138293
162,36.63592529,127.3169197,35.08718938
163,36.63592217,127.3169301,35.0871908
164,36.63592067,127.3169358,35.49979557
165,36.6359199,127.31694,35.10168206
166,36.63591852,127.3169441,34.73060978
167,36.63591676,127.3169498,35.15912728
168,36.63591499,127.3169555,35.58002097
169,36.63591324,127.3169611,36.00095172
170,36.63591148,127.3169668,36.42191194
171,36.63590971,127.3169725,36.84289064
172,36.63590795,127.3169781,37.27154282
173,36.63590619,127.3169838,37.70023142
174,36.63590442,127.3169895,38.12128581
175,36.63590266,127.3169952,38.54236357
176,36.6359009,127.3170009,38.96347771
177,36.63589913,127.3170066,39.38460069
178,36.63589737,127.3170122,39.81339198
179,36.63589561,127.3170179,40.24223535
180,36.63589385,127.3170235,40.66342105
181,36.63589209,127.3170292,41.08462599
182,36.63589032,127.3170349,41.50586744
183,36.63588841,127.3170406,41.92914925
184,36.6358865,127.3170462,42.36047432
185,36.63588459,127.3170519,42.79214025
186,36.63588268,127.3170576,43.21654146
187,36.63588076,127.3170633,43.64125801
188,36.63587885,127.317069,44.06634066
189,36.63587694,127.3170746,44.49171382
190,36.63587504,127.3170802,44.92512042
191,36.63587312,127.3170859,45.35875572
192,36.63587121,127.3170916,45.78508935
193,36.6358693,127.3170973,46.21166849
194,36.63586739,127.317103,46.6385761
195,36.63586548,127.3171086,47.07334595
196,36.63586356,127.3171143,47.50079579
197,36.63586165,127.31712,47.92845174
198,36.63585974,127.3171257,48.36405011
199,36.63585708,127.3171299,48.03272998
200,36.63585443,127.3171341,47.71039754
201,36.63585178,127.3171382,47.4050387
202,36.63584912,127.3171424,47.10124635
203,36.63584721,127.3171481,47.53471553
204,36.6358453,127.3171538,47.96844683
205,36.63584339,127.3171594,48.4022101
206,36.63584147,127.3171651,48.83623087
207,36.63583956,127.3171707,49.2778613
208,36.63583765,127.3171764,49.7197419
209,36.63583574,127.3171821,50.15404481
210,36.63583383,127.3171878,50.5885972
211,36.63583192,127.3171935,51.02327554
212,36.63583001,127.3171992,51.45807666
213,36.6358281,127.3172048,51.90802847
214,36.63582619,127.3172105,52.34306151
215,36.63582427,127.3172162,52.77807808
216,36.63582236,127.3172218,53.21333468
217,36.63582045,127.3172275,53.64856666
218,36.63581854,127.3172332,54.08403609
219,36.63581588,127.3172373,53.81375212
220,36.63581322,127.3172415,53.54467107
221,36.63581057,127.3172457,53.28419118
222,36.63580792,127.3172499,53.03276984
223,36.63580526,127.3172541,52.79037611
224,36.63580261,127.3172583,52.55692797
225,36.63579995,127.3172624,52.34017291
226,36.6357973,127.3172666,52.12555176
