center_lat,center_lng,lat,lng
36.63583851,127.3171087,36.63576563,127.3177813
36.6358368,127.3171136,36.6357625,127.3177917
36.63583509,127.3171185,36.63575938,127.3178021
36.63583338,127.3171234,36.63575625,127.3178125
36.63583167,127.3171283,36.63575313,127.3178229
36.63582996,127.3171332,36.63575,127.3178333
36.63582825,127.317138,36.63574167,127.3178333
36.63582654,127.3171429,36.63573333,127.3178333
36.63582483,127.3171478,36.635725,127.3178333
36.63582313,127.3171527,36.63571667,127.3178333
36.63582142,127.3171576,36.63570833,127.3178333
36.63581971,127.3171625,36.6357,127.3178333
36.635818,127.3171673,36.63569167,127.3178333
36.63581629,127.3171722,36.63568333,127.3178333
36.63581458,127.3171771,36.63568125,127.3178438
36.63581262,127.3171868,36.63567917,127.3178542
36.63581079,127.317196,36.63567708,127.3178646
36.63580908,127.3172046,36.635675,127.317875
36.63580747,127.3172126,36.63567292,127.3178854
36.63580596,127.3172202,36.63567083,127.3178958
36.63580454,127.3172272,36.63566875,127.3179063
36.63580322,127.3172339,36.63566667,127.3179167
36.63580198,127.3172401,36.63566458,127.3179271
36.63579964,127.3172517,36.6356625,127.3179375
36.63579761,127.3172619,36.63566042,127.3179479
36.63579582,127.3172709,36.63565833,127.3179583
36.63579426,127.3172787,36.63565625,127.3179688
36.63579289,127.3172855,36.63565417,127.3179792
36.63579151,127.3172924,36.63565208,127.3179896
36.63579013,127.3172994,36.63565,127.318
36.63578874,127.3173063,36.63564688,127.3180104
36.63578736,127.3173132,36.63564375,127.3180208
36.63578535,127.3173232,36.63564063,127.3180313
36.63578333,127.3173333,36.6356375,127.3180417
36.63577846,127.3173346,36.63563438,127.3180521
36.63577358,127.3173359,36.63563125,127.3180625
36.63576871,127.3173372,36.63562813,127.3180729
36.63576383,127.3173386,36.635625,127.3180833
36.63575896,127.3173399,36.63562188,127.3180938
36.63575408,127.3173412,36.63561875,127.3181042
36.63574921,127.3173425,36.63561563,127.3181146
36.63574433,127.3173438,36.6356125,127.318125
36.63573917,127.3173543,36.63560938,127.3181354
36.63573574,127.3173614,36.63560625,127.3181458
36.63573116,127.3173707,36.63560313,127.3181562
36.63572505,127.3173832,36.6356,127.3181667
36.63572156,127.3173903,36.63559167,127.3181667
36.63571757,127.3173985,36.63558333,127.3181667
36.63571301,127.3174078,36.635575,127.3181667
36.6357078,127.3174184,36.63556667,127.3181667
36.63570578,127.3174251,36.63556563,127.3181771
36.63570377,127.3174318,36.63556458,127.3181875
36.63570175,127.3174386,36.63556354,127.3181979
36.63569973,127.3174453,36.6355625,127.3182083
36.63569768,127.3174522,36.63556146,127.3182187
36.63569409,127.3174641,36.63556042,127.3182292
36.6356914,127.3174731,36.63555938,127.3182396
36.63568938,127.3174798,36.63555833,127.31825
36.63568636,127.3174899,36.63555729,127.3182604
